price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,plz,ort
2800000,308,6,3,2,yes,no,yes,yes,no,3,no,semi-furnished,40217,Düsseldorf Zentrum
2800000,411,7,4,3,no,yes,yes,yes,no,2,yes,semi-furnished,50674,Köln Innenstadt
2743000,346,7,4,3,no,no,yes,yes,no,3,no,semi-furnished,53129,Bonn Kessenich
2380000,420,8,3,3,no,no,yes,yes,no,2,no,unfurnished,53604,Bad Honnef
2303000,315,6,3,2,yes,yes,yes,yes,no,2,yes,unfurnished,40223,Düsseldorf Bilk
2270000,311,6,3,3,no,no,yes,yes,yes,4,no,semi-furnished,53121,Bonn Endenich
2070000,375,7,4,2,yes,no,yes,yes,no,2,no,furnished,53225,Bonn Beuel
1966000,376,7,4,2,no,no,yes,yes,no,4,no,unfurnished,45131,Essen Rüttenscheid
1834000,282,6,2,3,no,no,yes,no,yes,3,yes,semi-furnished,53113,Bonn Zentrum
1816000,247,5,2,3,no,no,yes,no,no,3,yes,unfurnished,53113,Bonn Zentrum
1802000,292,6,3,2,no,no,yes,yes,yes,2,no,unfurnished,53113,Bonn Zentrum
1790000,381,8,2,2,no,no,yes,no,no,3,yes,unfurnished,53343,Wachtberg
1785000,338,7,2,2,no,no,yes,yes,no,4,no,unfurnished,44227,Dortmund Hombruch
1768000,241,5,2,2,yes,no,yes,yes,no,3,no,semi-furnished,50678,Köln Innenstadt
1758000,202,4,2,3,no,no,no,yes,no,3,no,furnished,50670,Köln Innenstadt
1725000,260,6,4,2,no,no,yes,yes,yes,3,no,semi-furnished,50935,Köln Lindenthal
1715000,272,6,4,2,no,no,yes,yes,no,3,yes,unfurnished,45473,Mülheim a.d. Ruhr
1634000,308,6,2,3,no,no,yes,yes,yes,3,yes,furnished,53340,Meckenheim
1622000,200,5,3,3,no,no,yes,yes,no,2,no,unfurnished,40210,Düsseldorf Zentrum
1599000,233,5,2,2,no,yes,no,yes,yes,2,no,furnished,53129,Bonn Kessenich
1596000,297,5,4,3,yes,no,yes,yes,no,3,yes,unfurnished,53127,Bonn Hardtberg
1564000,313,7,3,3,no,yes,yes,yes,no,2,no,unfurnished,44227,Dortmund Hombruch
1538000,151,4,1,3,no,no,yes,yes,no,2,yes,unfurnished,40547,Düsseldorf Oberkassel
1537000,174,4,3,1,no,no,yes,no,no,2,yes,semi-furnished,40215,Düsseldorf Zentrum
1531000,270,6,2,3,yes,no,no,yes,no,2,yes,unfurnished,53111,Bonn Zentrum
1526000,260,6,3,2,no,yes,no,yes,yes,1,no,semi-furnished,53179,Bonn Bad Godesberg
1523000,198,5,1,3,no,no,yes,no,no,2,yes,furnished,50996,Köln Rodenkirchen
1502000,294,6,2,2,yes,no,yes,yes,no,4,yes,unfurnished,53773,Hennef (Sieg)
1445000,364,7,3,2,no,yes,yes,yes,no,2,no,unfurnished,45326,Essen Altenessen
1393000,260,6,1,1,no,no,no,yes,no,2,no,unfurnished,53115,Bonn Poppelsdorf
1360000,193,4,3,1,no,yes,no,yes,no,3,no,unfurnished,50667,Köln Innenstadt
1350000,299,5,4,3,no,no,yes,yes,no,3,no,unfurnished,53125,Bonn Hardtberg
1334000,330,7,3,2,yes,no,yes,yes,no,4,no,unfurnished,53359,Rheinbach
1329000,231,5,3,3,no,no,yes,yes,no,1,no,furnished,50827,Köln Ehrenfeld
1324000,161,3,1,2,no,yes,yes,yes,no,3,yes,unfurnished,40210,Düsseldorf Zentrum
1324000,219,5,2,1,no,no,no,yes,no,3,yes,unfurnished,50733,Köln Nippes
1322000,208,5,2,3,no,no,yes,yes,no,1,no,unfurnished,50668,Köln Innenstadt
1300000,346,6,3,3,no,no,yes,yes,no,3,no,semi-furnished,45128,Essen Zentrum
1283000,240,4,4,2,no,no,yes,yes,no,2,no,unfurnished,52066,Aachen
1277000,213,5,3,3,no,yes,yes,yes,yes,2,no,unfurnished,40212,Düsseldorf Zentrum
1261000,143,5,2,1,no,no,yes,yes,no,1,no,semi-furnished,40545,Düsseldorf Oberkassel
1249000,168,4,2,2,no,yes,yes,yes,no,3,yes,unfurnished,53113,Bonn Zentrum
1242000,218,4,4,2,no,no,no,yes,no,4,no,semi-furnished,53227,Bonn Beuel
1241000,157,5,3,1,no,yes,yes,yes,no,1,yes,unfurnished,50935,Köln Lindenthal
1239000,265,5,3,2,no,no,yes,yes,no,3,yes,unfurnished,53757,Sankt Augustin
